instance,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config,wall,wall,wall,wall
count,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,amin,std,amax,mean
1946,33.9153902261,1.0,250.0,28.8124591013,35.4442013129,1.0,250.0,29.0946665466,667,2096,13,568.698437667,0.6376,7200.15,1729.93275529,jdrasil-b75t1800-n1,0.0,1711.82012557,7199.5493,543.201003135
1946,33.9498525074,1.0,250.0,28.9692875921,35.435840708,1.0,250.0,29.2507850608,647,2015,13,595.752526824,0.5348,7200.21,1804.54761287,jdrasil-b100-n1,0.0,1781.61205639,7199.5704,568.031759969
1946,32.5578059072,1.0,250.0,29.6680720968,34.2320675105,1.0,250.0,30.4141067553,584,1984,16,1358.94815879,0.5806,7200.55,2636.52527758,jdrasil-b125-n1,0.0,2579.03487608,7199.736,1263.87373777
1946,37.6285714286,1.0,363.0,43.2552794247,38.9857142857,1.0,363.0,43.2949595261,630,1805,15,1240.07811645,0.5699,7200.25,2460.31830293,tcs-b100-n1,0.0,2377.05716639,7199.5826,1126.73858279
1946,30.0995215311,1.0,250.0,29.6357137014,31.7033492823,1.0,250.0,30.867750879,493,1676,20,1935.83142451,0.5746,7200.44,3064.46510469,jdrasil-b150-n1,0.0,2976.02318583,7199.6946,1753.86449162
1946,33.9353301566,1.0,250.0,28.3534145155,34.9891082369,1.0,250.0,28.3111100958,631,1548,12,76.1081662211,0.5237,7200.13,516.714892757,jdrasil-b75-n1,0.0,517.098535361,7199.585,70.3132304214
1946,33.7929362881,1.0,250.0,28.4753372025,34.8040166205,1.0,250.0,28.4116304734,609,1460,12,239.887747276,0.5292,7200.2,1103.94133627,tcs-b75-n1,0.0,1010.17761284,7199.614,204.878657091
1946,30.8608094768,1.0,250.0,31.6631444668,31.923988154,1.0,250.0,32.1001574111,447,1077,19,2170.99305606,0.64,7200.24,3180.45391877,tcs-b125-n1,0.0,3063.44112217,7199.5816,1914.89627703
1946,27.4045454545,1.0,250.0,30.8828381937,28.3386363636,1.0,250.0,31.461066941,368,822,14,2625.324039,0.6805,7200.3,3393.34417292,tcs-b150-n1,0.0,3308.85702391,7199.5536,2343.91953854
1946,38.559125964,1.0,353.0,39.6720929428,38.9183804627,1.0,353.0,39.5365810856,349,559,8,33.0785833933,0.5364,7200.1,245.96067684,jdrasil-b50-n1,0.0,246.000609614,7199.5472,25.9986494861
1946,34.5503718729,1.0,250.0,28.15009064,34.9141311697,1.0,250.0,28.240271232,325,538,9,10.8506617677,0.5559,7200.0,163.174175288,htd-b150-n1,0.0,5.54765315457,57.1892,4.22547667009
1946,38.8402095612,1.0,363.0,41.3692654983,39.1165684348,1.0,363.0,41.25874347,296,422,9,221.532349794,0.5333,7200.19,1120.67486266,tcs-b50-n1,0.0,951.067756414,7199.5849,161.931015827
1946,34.6175675676,1.0,250.0,28.221421707,34.902027027,1.0,250.0,28.2345626854,258,421,8,7.22044162384,0.5505,58.39,6.23082718546,htd-b100-n1,0.0,5.51705985255,57.8307,4.29403247688
1946,38.8497109827,1.0,318.0,39.3643323769,38.8734746307,1.0,318.0,39.3494174616,35,37,2,24.5786338817,0.5328,7200.1,169.055321701,jdrasil-b25-n1,0.0,168.8514032,7199.4572,17.7261805242
